order_id,status,customer_name,order_date,quantity,subtotal_amount,tax_rate,shipping_cost,category,subcategory
3,Order Finished,Muhammed Mac Intyre,2010-10-13,6,523080.00,0.0400,20923.00,Office Supplies,Storage & Organization
6,Order Finished,Annie Thurman,2012-02-20,2,13860.00,0.0100,139.00,Office Supplies,"Scissors, Rulers & Trimmers"
32,Order Finished,Liz Pelletier,2011-07-15,15,281120.00,0.0400,11245.00,Technology,Computer Peripherals
35,Order Finished,Julie Creighton,2011-10-22,30,577120.00,0.0300,17314.00,Office Supplies,Pens & Art Supplies
36,Order Finished,Sample Company A,2011-11-02,46,4969491.00,0.1000,496949.00,Technology,Telephones & Communication
65,Order Returned,Tamara Dahlen,2011-03-17,32,7625460.00,0.0200,152509.00,Technology,Computer Peripherals
66,Order Finished,Arthur Gainer,2009-01-19,41,216300.00,0.0900,19467.00,Office Supplies,Pens & Art Supplies
69,Order Returned,Jonathan Doherty,2009-06-03,42,2372120.00,0.0900,213491.00,Furniture,Office Furnishings
70,Order Finished,Helen Wasserman,2010-12-17,48,180100.00,0.0300,5403.00,Office Supplies,Rubber Bands
96,Order Finished,Keith Dawkins,2009-04-16,37,8316247.00,0.0100,83162.00,Technology,Telephones & Communication
97,Order Finished,Craig Yedwab,2010-01-28,26,151140.00,0.0300,4534.00,Office Supplies,Labels
129,Order Finished,Pauline Chand,2012-11-18,4,65440.00,0.0900,5890.00,Office Supplies,Paper
130,Order Finished,Roy Collins,2012-05-07,3,923780.00,0.0500,46189.00,Technology,Office Machines
132,Order Finished,Emily Phan,2010-06-10,30,8023300.00,0.0500,401165.00,Furniture,Bookcases
134,Order Returned,Michael Dominguez,2012-04-30,11,2265200.00,0.0100,22652.00,Office Supplies,Storage & Organization
135,Order Returned,Anne Pryor,2011-10-20,25,251700.00,0.0900,22653.00,Technology,Computer Peripherals
166,Order Finished,Valerie Takahito,2011-09-11,10,1135872.00,0.0200,22717.00,Technology,Telephones & Communication
193,Order Finished,Justin Hirsh,2010-08-07,14,349780.00,0.0600,20987.00,Office Supplies,Storage & Organization
194,Order Finished,Maria Zettner,2012-04-04,49,658060.00,0.1000,65806.00,Furniture,Office Furnishings
195,Order Finished,Brad Thomas,2010-12-27,34,2631480.00,0.0300,78944.00,Office Supplies,Pens & Art Supplies
197,Order Finished,Penelope Sewall,2011-04-06,23,621040.00,0.0100,6210.00,Office Supplies,"Scissors, Rulers & Trimmers"
224,Order Finished,Bart Folk,2009-06-17,25,369720.00,0.0900,33275.00,Furniture,Office Furnishings
225,Order Finished,Karen Ferguson,2011-05-24,24,253160.00,0.0600,15190.00,Office Supplies,Pens & Art Supplies
229,Order Finished,Matt Abelman,2010-12-28,43,1172220.00,0.1100,128944.00,Furniture,Office Furnishings
230,Order Returned,Erin Creighton,2010-10-26,47,4059500.00,0.0600,243570.00,Office Supplies,Pens & Art Supplies
231,Order Finished,Sean Braxton,2009-09-28,2,1379480.00,0.0600,82769.00,Office Supplies,Appliances
258,Order Finished,Liz Willingham,2010-12-28,21,308700.00,0.0000,0.00,Office Supplies,Paper
261,Order Finished,Sonia Sunley,2010-06-28,47,11355218.00,0.0400,454209.00,Technology,Telephones & Communication
263,Order Finished,Paul Lucas,2009-05-16,25,273540.00,0.0900,24619.00,Office Supplies,Binders & Binder Accessories
290,Order Finished,Dorris Love,2009-01-05,24,377460.00,0.0500,18873.00,Office Supplies,Paper
292,Order Finished,Valerie Takahito,2012-01-12,43,825240.00,0.0800,66019.00,Office Supplies,Envelopes
293,Order Finished,Barry French,2012-10-01,49,20246040.00,0.0700,1417223.00,Office Supplies,Appliances
294,Order Finished,Sanjit Chand,2010-07-15,35,12750560.00,0.0600,765034.00,Office Supplies,Storage & Organization
322,Order Finished,Giulietta Weimer,2012-03-18,20,5269711.00,0.0800,421577.00,Technology,Telephones & Communication
323,Order Finished,Dario Medina,2009-03-25,20,216180.00,0.0700,15133.00,Office Supplies,Envelopes
324,Order Returned,Frank Gastineau,2012-03-19,25,7745268.00,0.0200,154905.00,Technology,Telephones & Communication
325,Order Finished,Craig Yedwab,2010-10-16,9,1768255.00,0.0600,106095.00,Technology,Telephones & Communication
326,Order Finished,Michelle Tran,2011-06-03,34,436540.00,0.0300,13096.00,Office Supplies,Binders & Binder Accessories
